estimated_study_hours,hours_left_until_deadline,completion_percentage,difficulty,risk_level
17.5,8.6,26.4,Hard,High
6.6,6.2,13.8,Medium,High
3.9,37.3,29.3,Hard,Low
8.6,53.1,65.9,Easy,Low
2.5,137.0,62.2,Easy,Low
12.5,49.9,63.1,Hard,Low
7.9,14.3,20.3,Easy,Medium
5.2,2.5,11.3,Easy,High
10.7,1.0,7.2,Medium,High
1.0,122.7,68.6,Easy,Low
8.1,166.5,79.1,Medium,Low
18.1,19.8,5.5,Hard,High
15.8,7.8,5.1,Medium,High
5.4,13.9,48.5,Hard,Medium
9.1,18.9,24.5,Easy,Medium
11.1,26.9,61.6,Easy,Low
5.6,50.6,24.4,Hard,Low
9.5,129.7,73.8,Hard,Low
7.4,142.3,58.6,Hard,Medium
17.5,14.3,0.9,Medium,High
7.7,17.2,5.1,Medium,Medium
5.7,115.9,58.5,Hard,Low
12.7,17.5,24.8,Easy,Medium
6.1,65.8,90.0,Easy,Low
14.3,27.4,67.1,Easy,Low
2.4,93.4,59.8,Hard,Low
7.5,38.4,51.6,Easy,Low
7.6,3.7,10.4,Easy,High
11.2,19.2,30.1,Hard,Medium
7.1,13.2,65.5,Hard,Low
5.0,53.1,22.1,Hard,Low
4.8,53.8,69.9,Hard,Low
1.0,74.2,83.6,Hard,Low
9.3,44.8,48.1,Easy,Low
12.2,13.3,24.7,Easy,Medium
2.7,93.0,41.4,Medium,Low
18.9,13.9,33.7,Hard,High
10.8,13.7,37.0,Medium,Medium
7.9,19.9,14.2,Easy,Medium
9.8,51.0,22.0,Hard,Low
5.3,17.3,15.7,Medium,Medium
12.7,47.5,21.9,Hard,High
4.5,46.2,57.8,Hard,Low
14.9,33.4,31.9,Medium,Medium
4.6,145.2,41.8,Medium,Low
6.8,100.0,51.0,Hard,Low
15.3,7.4,7.5,Easy,High
12.3,13.0,33.1,Medium,Medium
5.3,3.4,25.4,Medium,High
10.6,16.0,4.9,Hard,High
4.5,59.7,61.6,Hard,Low
3.4,85.1,80.8,Medium,Low
11.9,41.1,62.6,Hard,Low
10.4,47.9,23.0,Medium,Low
14.2,14.3,24.4,Hard,High
7.0,14.6,2.2,Medium,Medium
1.2,135.4,64.2,Medium,High
2.7,110.2,92.9,Easy,Low
7.3,160.0,48.1,Hard,Low
11.4,12.4,0.2,Medium,High
6.8,41.5,48.6,Easy,Low
3.0,19.1,53.0,Easy,Low
9.7,41.6,37.3,Easy,Low
11.3,2.5,5.6,Medium,High
5.0,135.7,82.0,Easy,Low
6.9,54.6,92.7,Hard,Low
10.0,49.9,28.7,Easy,Low
7.2,20.9,33.7,Easy,Low
9.7,5.6,26.4,Hard,High
3.1,51.1,62.7,Hard,Low
12.2,39.4,36.5,Hard,Medium
7.0,52.8,50.8,Medium,Low
1.3,153.1,60.2,Hard,Low
8.1,52.2,36.1,Hard,Low
9.4,149.0,99.7,Easy,Low
7.9,92.2,58.9,Easy,Low
13.6,11.0,57.8,Easy,Medium
11.9,50.2,63.7,Medium,Low
3.3,38.9,58.6,Easy,Low
5.9,59.2,31.3,Hard,Low
5.1,71.9,95.1,Easy,Low
14.5,27.9,26.7,Hard,Medium
7.6,10.1,5.7,Easy,Medium
10.9,12.3,36.2,Easy,Medium
15.5,15.7,36.4,Medium,Medium
4.8,12.0,64.2,Medium,Low
2.4,128.1,86.2,Medium,Low
13.6,51.1,67.5,Medium,Low
5.2,123.7,95.1,Medium,High
1.9,111.0,90.8,Medium,Low
11.7,0.5,3.6,Easy,High
8.7,155.9,48.5,Medium,Low
14.4,52.7,48.8,Easy,Low
9.2,28.8,68.1,Easy,Low
5.8,55.5,99.5,Medium,Low
12.1,15.6,29.1,Medium,High
5.5,153.0,63.1,Hard,Low
9.5,16.2,38.9,Medium,Medium
1.7,91.3,77.8,Easy,Low
9.9,18.4,40.2,Medium,Medium
2.1,77.0,69.8,Medium,Low
17.7,13.0,11.8,Easy,High
2.2,125.9,93.5,Medium,Low
6.9,59.9,93.1,Hard,Low
11.2,54.5,32.6,Easy,Low
5.4,97.0,41.2,Hard,Low
19.4,4.1,22.5,Medium,High
5.3,35.9,41.1,Easy,Low
5.8,5.0,27.8,Medium,High
16.4,8.1,5.2,Medium,High
3.5,138.6,60.8,Easy,Low
1.7,69.7,76.3,Medium,Low
2.9,94.2,72.4,Hard,Low
12.7,0.6,22.9,Hard,High
7.4,24.0,24.5,Easy,Low
5.1,83.7,76.0,Medium,High
7.2,115.2,95.3,Easy,Low
1.3,86.3,48.7,Hard,High
7.1,99.0,54.5,Medium,Low
11.0,13.7,34.8,Medium,Medium
16.6,18.8,4.6,Easy,High
6.5,116.4,75.2,Medium,Low
9.3,140.5,49.2,Hard,Low
3.5,94.0,55.0,Easy,Low
9.5,167.6,98.0,Medium,Low
8.6,2.8,19.9,Easy,High
19.3,8.6,0.1,Medium,High
11.9,12.5,14.8,Hard,High
3.5,158.6,92.6,Medium,Low
7.4,74.1,64.9,Easy,Low
9.0,5.9,17.5,Easy,High
3.8,43.9,33.1,Hard,Low
6.2,18.4,4.4,Hard,Medium
10.0,5.7,18.1,Hard,High
6.1,17.4,23.0,Medium,Medium
4.9,76.5,60.1,Medium,Low
2.1,74.0,65.3,Easy,Low
10.0,17.8,51.2,Easy,Low
3.3,132.7,42.4,Medium,Low
3.5,163.3,76.4,Medium,Low
6.3,44.7,21.1,Hard,Low
10.8,29.6,42.6,Medium,Low
5.3,19.7,28.8,Medium,Low
9.5,33.7,24.1,Easy,Low
6.4,46.5,33.1,Easy,Low
11.2,11.8,4.1,Hard,High
12.3,47.7,25.0,Easy,Low
7.4,149.0,95.6,Medium,Low
4.7,100.3,90.5,Medium,Low
5.3,153.6,42.8,Hard,Low
11.1,3.9,24.2,Hard,High
9.5,95.1,50.8,Hard,Low
13.9,40.0,39.5,Medium,Low
13.0,3.5,31.7,Easy,High
10.8,8.9,37.9,Hard,High
9.7,27.2,24.6,Easy,Low
5.3,153.0,45.3,Medium,Low
7.0,106.0,72.9,Hard,Low
1.6,130.4,64.5,Easy,Low
4.6,54.4,57.1,Easy,Low
12.2,11.1,13.2,Hard,High
8.7,6.4,21.0,Easy,Medium
12.6,10.6,10.7,Hard,High
6.7,155.6,40.0,Hard,Low
4.2,98.3,70.0,Medium,Low
5.4,50.7,22.5,Medium,Low
5.5,147.1,72.2,Easy,Low
7.2,56.1,30.0,Medium,Low
4.5,65.5,69.0,Medium,Low
7.2,130.2,69.3,Medium,Low
8.7,65.9,70.3,Easy,Low
13.2,51.9,35.8,Medium,Low
5.8,55.3,85.7,Medium,Low
8.6,8.9,22.2,Medium,High
3.2,36.2,54.4,Hard,Low
6.7,65.8,98.4,Medium,Low
6.4,48.6,47.0,Hard,Low
9.3,47.6,21.0,Medium,Low
11.6,11.2,8.2,Medium,Low
8.3,62.2,46.2,Hard,Low
7.1,46.0,55.8,Hard,Low
8.3,33.1,43.3,Medium,Low
16.9,12.4,9.2,Medium,High
9.2,11.6,18.7,Hard,High
12.8,6.8,39.4,Medium,Low
6.0,83.5,50.7,Easy,Medium
14.1,57.8,36.3,Easy,Low
5.4,113.5,75.5,Hard,Low
8.1,41.9,54.3,Easy,Low
12.1,42.1,57.3,Hard,Low
9.3,139.9,60.1,Easy,Low
10.2,29.1,49.5,Hard,Low
3.5,65.9,41.7,Easy,Low
4.8,149.4,61.9,Medium,Low
11.4,6.2,24.2,Medium,High
14.5,26.8,69.6,Medium,Low
7.7,100.6,96.6,Medium,Low
10.8,59.1,59.4,Hard,Low
3.7,116.2,83.8,Easy,Low
5.8,60.5,67.0,Hard,Low
4.5,158.5,89.9,Medium,Low
5.8,100.7,48.2,Easy,Low
1.6,152.4,48.7,Medium,Low
9.3,91.2,84.1,Hard,Low
3.0,57.6,59.6,Hard,Low
5.7,4.4,37.6,Easy,Medium
4.6,38.3,40.5,Easy,Medium
19.6,15.8,13.8,Easy,High
5.6,64.6,96.9,Hard,Low
11.8,8.7,23.1,Easy,High
11.4,5.9,14.4,Easy,High
11.2,36.7,64.6,Easy,Low
1.4,149.9,45.9,Hard,Low
5.3,1.7,20.8,Easy,High
7.6,16.8,39.0,Easy,Low
5.9,4.8,14.8,Hard,High
5.1,154.1,49.2,Hard,Low
18.8,16.1,31.6,Easy,Medium
7.2,4.1,25.9,Easy,Medium
13.8,14.3,14.6,Medium,Low
15.5,2.4,3.5,Medium,High
19.4,11.3,36.6,Medium,High
8.1,50.5,33.0,Medium,Low
2.6,124.3,91.2,Medium,Low
8.8,56.2,55.0,Hard,Low
19.0,9.8,39.5,Hard,High
2.4,87.3,90.0,Easy,Low
5.0,14.8,63.2,Easy,Low
19.3,2.7,21.5,Hard,High
3.5,141.0,44.8,Medium,Low
9.9,17.6,6.8,Medium,Medium
3.8,36.4,33.4,Easy,Low
1.5,96.6,56.0,Hard,Low
6.6,143.9,92.7,Medium,Low
11.9,18.0,37.0,Medium,Medium
4.4,59.1,44.5,Hard,Low
6.8,17.2,6.1,Easy,Medium
14.7,1.8,21.3,Easy,High
10.9,2.2,8.8,Easy,High
12.0,54.8,22.0,Easy,Low
6.4,17.4,34.5,Hard,Medium
10.4,18.7,30.7,Hard,Medium
2.3,118.1,64.2,Hard,Low
8.2,38.3,21.5,Hard,Low
8.5,10.8,33.3,Easy,Medium
13.8,49.8,48.1,Hard,Low
14.2,17.9,29.0,Easy,Medium
13.7,4.2,25.1,Medium,High
1.1,141.2,72.2,Easy,Low
4.0,157.4,91.6,Hard,Low
7.9,75.7,46.5,Hard,Low
7.1,36.5,21.3,Medium,Low
14.9,54.2,26.2,Medium,Low
4.1,41.6,39.0,Hard,Low
6.9,35.0,57.8,Easy,Low
13.8,8.5,10.1,Hard,High
11.8,48.6,38.4,Easy,Low
9.0,2.7,22.1,Medium,High
12.1,22.6,23.2,Hard,Medium
9.4,34.9,68.8,Hard,Low
3.9,51.5,78.9,Medium,Low
9.6,50.7,40.8,Hard,Low
6.0,16.5,15.5,Hard,Medium
13.5,12.6,6.9,Medium,High
6.7,57.6,52.7,Medium,Low
9.3,6.9,37.3,Easy,High
10.4,31.3,24.5,Easy,Low
13.1,12.4,0.6,Hard,High
5.8,27.7,21.1,Hard,Low
14.5,13.1,3.6,Hard,High
10.5,10.3,22.3,Easy,Medium
7.2,159.3,75.7,Medium,Low
7.3,2.5,9.1,Hard,High
12.4,21.5,31.5,Hard,Medium
5.5,115.2,81.1,Medium,Low
6.8,37.3,52.6,Medium,Low
8.1,117.4,82.4,Hard,Low
6.9,40.8,69.3,Hard,Low
1.2,115.2,85.9,Hard,Low
6.1,65.7,58.2,Medium,Low
19.7,4.9,31.1,Hard,High
9.2,0.8,13.1,Medium,High
14.2,10.3,35.2,Hard,High
5.2,12.2,37.0,Medium,Medium
2.2,143.0,76.2,Medium,Low
7.5,113.9,75.0,Hard,Low
8.0,47.8,23.2,Medium,Low
4.7,45.8,82.3,Medium,Low
12.6,47.4,51.6,Easy,Low
14.4,18.5,39.5,Easy,Medium
14.4,49.9,54.6,Medium,Low
8.2,10.8,21.6,Medium,Medium
9.6,128.3,90.8,Hard,Low
17.4,4.3,34.9,Medium,High
15.0,7.0,23.8,Easy,High
2.5,43.3,57.5,Easy,Low
11.6,18.2,43.7,Easy,Medium
4.6,47.1,42.7,Easy,Low
15.2,13.7,5.5,Hard,High
4.0,101.2,76.8,Hard,Low
12.0,22.8,24.2,Hard,Medium
8.3,76.9,98.2,Medium,Low
13.9,10.1,28.2,Hard,High
18.6,13.8,5.9,Hard,High
11.1,10.2,41.8,Easy,Medium
3.3,41.8,30.6,Medium,Low
10.9,10.6,28.4,Hard,High
6.7,2.5,20.1,Medium,High
3.8,127.2,74.2,Easy,Low
7.7,14.6,17.9,Hard,Medium
4.9,93.5,91.2,Hard,Low
19.0,3.2,30.7,Medium,High
8.8,1.2,2.7,Hard,High
13.3,24.3,33.1,Hard,Medium
5.3,93.2,68.3,Medium,Low
8.6,135.7,57.2,Hard,Low
13.3,58.9,53.0,Easy,Low
14.0,44.9,53.4,Medium,Low
15.1,0.9,16.8,Hard,High
13.1,15.7,1.1,Medium,High
13.3,5.1,37.1,Hard,High
13.8,19.1,17.5,Medium,Medium
10.0,5.5,0.9,Easy,High
6.2,15.9,3.8,Hard,Medium
6.0,3.6,34.8,Easy,High
9.5,84.3,93.7,Easy,Low
5.2,20.3,21.3,Easy,Low
6.3,52.5,64.9,Medium,Low
6.4,16.4,8.0,Hard,Medium
8.6,22.9,21.6,Easy,Low
5.9,133.3,59.6,Hard,Low
13.9,10.5,30.7,Easy,High
9.3,53.6,53.5,Medium,Low
10.2,46.2,44.1,Medium,Low
11.9,39.0,26.8,Hard,Medium
1.4,158.5,46.0,Easy,Low
11.4,3.3,23.1,Easy,High
4.8,150.7,46.2,Easy,Low
4.7,167.9,60.0,Hard,Low
6.5,8.5,2.2,Easy,Medium
14.8,16.7,35.1,Hard,High
15.2,20.0,35.0,Medium,Medium
8.8,16.2,27.8,Medium,Medium
14.0,19.5,6.2,Easy,Medium
6.2,151.7,68.2,Easy,Low
9.9,11.5,11.7,Medium,High
18.9,11.8,6.7,Hard,High
1.5,69.7,41.1,Medium,Low
8.5,74.4,60.3,Medium,Low
5.1,2.9,9.4,Easy,High
9.0,42.1,61.6,Hard,Low
2.0,122.0,71.4,Medium,Low
10.1,16.4,39.9,Medium,Medium
7.5,18.9,18.7,Hard,Medium
11.0,26.5,46.3,Hard,Medium
9.7,25.6,25.9,Easy,Low
4.2,17.2,31.7,Easy,Low
17.7,14.4,23.8,Medium,High
6.6,50.8,30.9,Easy,Low
8.7,41.6,43.4,Hard,Low
1.5,138.5,58.5,Easy,Low
9.0,55.3,54.8,Medium,Low
18.9,15.7,10.2,Medium,High
6.6,108.3,52.6,Hard,Low
17.2,10.4,7.4,Medium,High
4.5,15.8,59.0,Easy,Low
8.1,3.5,4.7,Hard,High
8.5,20.5,55.2,Medium,Low
4.0,43.7,39.7,Medium,Low
3.6,44.7,48.7,Easy,Low
14.0,32.7,27.7,Hard,Medium
1.7,86.4,41.8,Easy,Low
13.5,19.1,25.5,Hard,High
6.7,25.8,65.7,Easy,Low
14.0,18.7,14.1,Hard,High
11.5,5.5,3.1,Medium,High
4.1,33.5,44.5,Easy,Low
13.7,4.1,13.7,Easy,High
14.6,4.1,33.5,Medium,High
9.4,161.6,55.1,Hard,Low
5.8,127.3,56.0,Easy,Low
13.4,8.9,25.9,Medium,High
7.7,17.2,22.2,Easy,Medium
11.4,58.6,55.1,Hard,Low
5.6,56.1,61.3,Hard,Low
6.2,19.0,15.7,Hard,Medium
6.9,41.5,81.6,Hard,Low
8.8,45.7,49.3,Easy,Low
6.1,55.6,27.9,Medium,Low
6.6,17.3,68.2,Easy,Low
3.1,47.9,38.0,Easy,Low
7.2,12.0,24.3,Hard,Medium
3.4,51.3,43.2,Hard,Low
9.4,7.3,19.4,Hard,High
11.5,47.8,51.2,Medium,Low
14.0,54.9,69.2,Hard,Low
8.9,121.6,83.7,Hard,Low
14.2,10.2,14.9,Hard,High
9.4,131.5,79.9,Hard,Low
6.8,14.5,34.8,Hard,Medium
2.9,78.9,42.8,Medium,Medium
2.9,166.0,58.9,Medium,Low
3.2,50.7,64.8,Medium,Low
1.5,110.7,40.6,Medium,Low
14.0,33.5,33.2,Hard,Medium
6.8,11.7,45.1,Hard,Medium
5.5,57.1,45.4,Medium,Low
12.4,23.3,39.1,Hard,Medium
6.1,155.1,42.0,Medium,Low
11.5,44.0,65.1,Medium,Low
15.5,17.1,6.4,Medium,High
5.5,118.5,44.1,Hard,Low
6.2,42.4,79.8,Hard,Low
8.9,84.1,86.8,Hard,Low
2.6,77.7,40.1,Hard,Low
8.9,23.2,48.9,Medium,Low
14.5,47.7,47.9,Medium,Low
5.2,81.4,92.1,Medium,Low
3.8,25.8,29.4,Easy,Low
7.5,118.4,70.3,Medium,Low
6.6,5.4,0.3,Easy,High
13.5,43.1,21.8,Hard,Medium
6.8,2.9,31.9,Easy,Low
11.4,11.6,63.1,Medium,Medium
3.5,23.5,21.8,Easy,Low
5.9,12.6,35.3,Easy,Low
4.2,145.9,50.6,Medium,Low
13.2,3.8,26.6,Easy,High
7.2,2.1,10.0,Hard,High
18.8,2.4,15.3,Hard,High
5.3,16.3,6.7,Easy,Low
4.4,115.0,86.3,Hard,Low
6.0,132.7,68.8,Hard,Low
3.6,34.7,45.9,Medium,Low
19.8,11.2,39.9,Hard,High
7.1,122.1,44.1,Easy,Low
10.0,55.0,68.7,Hard,Low
12.7,4.6,30.7,Easy,High
14.3,45.6,38.9,Hard,Low
5.5,15.9,7.9,Hard,Medium
7.8,59.6,44.5,Hard,Low
5.2,84.0,40.5,Easy,Low
7.3,38.6,21.0,Medium,Low
7.1,58.6,40.6,Medium,Low
14.5,12.3,33.3,Medium,High
12.1,2.6,39.7,Medium,High
11.0,12.1,37.3,Easy,Medium
14.2,49.0,42.2,Hard,Low
11.4,10.0,1.7,Easy,Low
15.6,4.0,7.0,Easy,High
2.2,166.7,65.1,Easy,Low
14.9,25.5,20.3,Hard,Medium
3.1,50.4,67.4,Medium,Low
5.9,9.1,5.2,Hard,High
2.3,126.1,58.2,Medium,Low
9.6,9.6,21.8,Hard,High
4.2,33.9,64.1,Hard,Low
6.3,22.5,48.1,Hard,Low
4.4,166.6,82.1,Hard,Low
7.0,1.7,2.8,Hard,High
19.8,6.0,3.7,Easy,High
6.8,13.0,11.4,Easy,High
8.9,133.8,67.8,Hard,Low
10.3,39.9,24.0,Medium,Low
8.1,105.1,88.1,Easy,Low
10.3,44.7,22.4,Hard,Low
12.6,26.7,52.7,Hard,Medium
7.2,137.6,58.0,Medium,Low
11.3,15.8,65.0,Hard,Medium
7.9,6.2,15.2,Easy,High
11.0,48.5,45.2,Hard,Low
4.9,96.3,89.4,Medium,Low
7.8,105.1,78.7,Easy,Low
3.9,53.6,40.9,Easy,Low
7.0,143.3,67.5,Easy,Low
9.1,27.6,65.7,Easy,Low
9.4,20.5,69.3,Hard,Low
11.6,15.5,28.0,Hard,High
13.0,11.4,33.6,Easy,Medium
9.2,133.0,76.9,Easy,Low
6.8,66.8,79.0,Easy,Low
12.4,29.2,40.0,Hard,Medium
2.7,146.8,50.9,Hard,Low
2.2,62.5,72.4,Medium,Low
6.9,12.9,58.6,Medium,Low
13.7,10.4,13.2,Medium,High
13.0,36.2,54.4,Hard,Low
4.7,44.0,69.8,Hard,Low
15.3,10.2,36.2,Easy,High
2.3,106.5,93.6,Medium,Low
2.2,161.6,57.7,Medium,Low
10.9,42.9,23.8,Medium,Low
4.1,24.3,38.4,Easy,Low
2.6,128.8,80.2,Hard,Low
14.7,43.1,36.1,Medium,Low
11.9,23.9,56.7,Hard,Medium
6.7,91.3,97.5,Medium,Low
7.9,17.2,18.3,Easy,Medium
4.7,18.9,35.8,Medium,Low
4.8,24.5,49.6,Easy,Low
6.2,2.7,9.8,Hard,High
10.6,54.5,42.5,Medium,Low
9.7,49.5,84.1,Hard,Low
18.9,11.7,37.5,Easy,High
8.9,14.1,50.1,Medium,Medium
5.0,24.7,34.5,Medium,Low
7.5,50.6,40.0,Easy,Low
18.8,19.1,20.3,Easy,Medium
7.2,167.0,72.0,Easy,Low
9.6,14.0,26.5,Hard,High
10.7,29.1,48.1,Hard,Low
8.0,7.0,38.7,Hard,High
16.3,12.7,9.8,Easy,High
12.0,56.4,60.4,Hard,Low
6.2,21.4,66.7,Medium,Low
7.8,154.2,71.9,Easy,Low
9.3,16.3,37.7,Easy,Medium
10.5,40.0,39.8,Medium,Low
8.3,7.4,30.6,Easy,Medium
3.4,135.9,62.9,Hard,Low
18.5,17.8,22.0,Easy,Medium
8.9,46.3,66.3,Hard,Low
8.6,129.2,66.7,Hard,Low
13.2,15.4,16.1,Hard,High
14.1,36.7,65.3,Medium,Low
7.9,99.0,71.3,Easy,Low
17.7,17.5,3.1,Easy,High
11.9,31.2,25.8,Medium,Medium
5.7,6.2,24.2,Easy,Medium
8.9,141.8,77.2,Medium,Low
13.5,54.4,23.9,Medium,Low
5.6,101.8,95.3,Hard,Low
11.0,3.4,27.8,Easy,High
10.5,13.9,67.6,Medium,Low
18.3,13.7,23.4,Medium,High
4.3,157.0,64.8,Medium,Low
13.0,21.4,29.2,Easy,Medium
7.2,57.2,50.3,Hard,Low
13.4,11.8,36.6,Easy,Medium
5.5,0.7,23.3,Hard,High
6.8,59.1,96.0,Medium,Low
4.5,122.2,62.3,Easy,Low
4.1,73.0,61.3,Medium,High
9.8,23.7,60.1,Medium,Low
5.6,100.0,68.2,Easy,Low
8.8,49.2,42.5,Medium,Low
5.2,0.7,13.2,Easy,High
17.8,19.1,11.0,Medium,High
4.1,84.6,87.1,Easy,Low
8.0,60.9,57.1,Easy,Low
16.3,5.3,15.2,Medium,High
10.0,29.2,69.8,Hard,Low
8.3,105.6,59.4,Medium,Low
1.3,90.3,95.4,Easy,Low
11.2,42.3,34.4,Medium,Low
4.8,114.2,84.8,Hard,Low
6.9,30.0,34.2,Easy,Low
8.1,76.4,77.1,Easy,Low
6.3,44.8,30.0,Medium,Low
5.0,101.0,62.2,Easy,Low
6.1,61.4,87.8,Medium,Low
12.4,11.7,24.8,Easy,Medium
8.9,4.5,13.8,Easy,High
8.0,136.6,95.2,Easy,Low
14.0,47.7,24.0,Hard,Medium
11.2,15.9,33.8,Easy,Medium
6.6,6.1,25.3,Hard,High
6.9,124.8,46.2,Hard,Low
6.9,49.3,28.6,Easy,Low
15.4,2.3,38.4,Medium,High
10.8,3.2,29.6,Easy,High
4.2,45.0,60.6,Hard,Low
19.0,8.5,32.3,Easy,High
12.1,18.3,7.3,Hard,Low
3.6,50.1,77.7,Medium,Low
12.0,17.0,20.3,Easy,Medium
15.5,12.9,15.2,Hard,High
1.3,76.6,76.0,Hard,Low
4.0,91.4,49.5,Hard,Low
13.1,54.5,30.8,Hard,Low
10.4,25.6,47.3,Hard,Medium
19.4,7.5,0.4,Hard,High
1.7,102.0,55.1,Medium,Low
11.7,48.0,27.6,Hard,Low
13.6,17.9,31.3,Hard,High
6.8,128.7,91.1,Hard,Low
6.5,147.3,50.6,Easy,Low
6.5,54.3,65.9,Easy,Low
11.1,20.5,36.2,Hard,Medium
8.9,39.2,32.4,Medium,Low
5.6,67.4,58.7,Medium,Low
13.8,41.0,63.9,Easy,Low
7.3,10.2,69.4,Easy,Low
10.4,9.1,37.2,Hard,High
18.4,5.7,25.8,Easy,High
14.2,18.8,19.2,Easy,Medium
3.3,112.8,55.3,Hard,Low
9.5,28.4,40.9,Hard,Medium
8.1,102.2,48.5,Medium,Low
4.1,20.0,42.9,Easy,Low
14.2,28.7,69.8,Medium,Low
8.6,85.4,90.7,Medium,Low
4.7,139.7,95.3,Medium,Low
3.5,51.1,64.0,Easy,Low
14.2,20.1,32.0,Hard,Medium
8.6,67.2,56.9,Hard,Low
14.2,1.3,14.7,Medium,High
7.8,167.8,84.4,Easy,Low
9.4,132.6,94.8,Hard,Low
19.0,3.6,23.2,Easy,High
13.4,5.0,12.2,Medium,High
5.2,17.7,34.3,Easy,Low
4.9,106.2,49.9,Medium,Low
11.2,19.6,11.9,Hard,High
7.8,109.1,86.6,Easy,Low
13.8,16.5,17.0,Hard,High
5.2,104.8,44.4,Easy,Low
16.0,16.3,0.0,Easy,High
15.5,19.6,22.8,Easy,Medium
6.8,35.0,39.5,Medium,Low
10.7,22.4,57.7,Hard,Medium
17.9,13.2,32.8,Easy,High
13.4,33.4,26.5,Medium,Medium
4.2,51.9,44.9,Medium,Low
10.3,10.5,2.6,Medium,High
7.5,83.7,77.0,Medium,Low
9.6,1.4,3.7,Hard,High
1.3,59.8,61.3,Hard,Low
5.3,122.6,77.6,Easy,Low
2.6,122.9,42.4,Medium,Low
8.5,2.9,6.3,Easy,High
9.6,41.7,60.8,Hard,Low
10.0,29.2,41.1,Easy,Low
9.6,158.5,53.4,Easy,Low
5.8,47.2,82.0,Hard,Low
7.4,45.7,41.4,Medium,Low
9.6,166.8,71.4,Hard,Low
10.9,2.9,14.2,Medium,High
6.5,82.0,78.9,Hard,Low
7.0,54.6,69.4,Medium,Low
10.7,25.7,61.4,Medium,Low
7.5,45.2,21.3,Hard,Low
3.8,50.9,98.9,Easy,Low
2.0,92.3,65.6,Medium,Low
8.1,9.9,1.6,Hard,High
19.1,3.7,15.1,Medium,High
19.3,19.2,16.1,Hard,High
8.4,62.1,81.4,Medium,Low
9.5,24.0,58.9,Easy,Low
7.7,17.3,32.1,Medium,Medium
9.7,16.4,9.1,Easy,Medium
9.4,145.2,80.6,Easy,Low
14.7,33.5,51.1,Medium,Low
3.4,107.1,98.5,Medium,Low
7.3,4.8,12.7,Medium,High
16.0,18.8,28.0,Hard,High
5.5,47.1,38.6,Medium,Low
13.6,6.1,10.8,Medium,High
14.2,15.4,13.9,Hard,High
4.7,50.2,63.5,Easy,Low
11.3,53.1,20.3,Easy,Low
6.8,113.8,72.3,Easy,Low
5.0,58.9,98.5,Medium,Low
5.7,106.9,62.5,Hard,Low
8.4,47.5,49.5,Hard,Low
15.9,14.9,2.5,Medium,High
9.1,112.7,56.0,Medium,Low
7.0,23.2,54.7,Easy,Low
3.9,35.3,42.6,Hard,Low
11.9,45.2,20.4,Hard,Medium
10.2,42.3,60.5,Hard,Low
5.4,50.5,63.1,Easy,Low
1.0,153.0,65.6,Hard,Low
1.7,67.0,98.9,Easy,Low
10.8,23.0,28.2,Medium,Medium
6.9,45.7,58.2,Hard,Low
7.9,44.9,50.8,Hard,Low
16.1,13.7,18.6,Hard,High
13.8,14.6,37.1,Easy,Medium
11.1,9.8,0.0,Easy,High
7.8,9.1,7.0,Hard,High
6.7,11.9,5.8,Hard,High
6.2,53.6,30.5,Medium,Low
3.4,29.0,53.6,Medium,Low
10.3,7.3,8.5,Medium,High
10.8,57.7,38.8,Hard,Low
10.1,4.1,28.6,Easy,High
5.4,38.0,30.7,Hard,Low
3.0,103.3,52.2,Hard,Low
19.8,8.2,32.8,Easy,High
3.6,58.5,57.7,Easy,Low
7.2,19.8,60.8,Medium,Low
8.2,32.2,33.2,Easy,Low
1.7,99.5,93.4,Medium,Low
5.3,36.9,44.4,Hard,Low
9.9,16.5,14.6,Medium,Low
4.6,117.7,42.7,Hard,Low
5.8,51.1,22.3,Easy,Low
6.1,8.6,18.1,Medium,Medium
11.2,50.9,29.4,Easy,Low
9.9,122.3,59.4,Hard,Low
10.3,27.2,41.7,Hard,Medium
18.6,0.6,21.5,Easy,High
9.5,17.2,54.1,Medium,Medium
5.4,25.7,20.8,Easy,Low
13.0,13.4,0.5,Easy,High
11.1,56.8,33.1,Medium,Low
6.5,31.7,44.3,Easy,Low
12.1,51.7,32.8,Easy,Low
13.0,2.4,24.9,Medium,Medium
10.0,43.2,54.3,Easy,Low
15.3,11.0,33.7,Hard,High
10.3,31.2,59.7,Medium,Low
8.3,16.2,44.4,Hard,Medium
2.5,106.4,91.6,Medium,Low
5.8,50.0,33.8,Hard,Low
11.5,19.6,29.8,Medium,Medium
2.9,93.0,52.5,Hard,Low
3.3,44.4,33.4,Medium,Low
16.7,6.7,17.7,Easy,High
9.3,103.5,78.3,Easy,Low
13.2,7.2,3.2,Easy,High
6.0,2.7,0.1,Hard,Low
2.8,105.4,88.5,Easy,Low
7.5,5.8,26.8,Hard,High
6.6,42.4,50.3,Medium,Low
10.7,16.2,26.0,Medium,Medium
13.4,58.8,45.7,Medium,Low
7.7,132.1,80.2,Hard,Low
10.3,17.5,56.4,Easy,Low
9.5,16.5,21.6,Easy,Medium
8.5,55.7,83.5,Medium,Low
11.7,31.8,27.7,Easy,Low
9.9,7.5,35.1,Easy,High
6.2,11.2,23.5,Medium,Medium
16.0,6.1,33.5,Medium,High
8.4,114.5,61.7,Hard,Low
